iter	Passed	Remaining
889	32984	4076
890	33013	4038
891	33041	4000
892	33073	3962
893	33101	3924
894	33129	3886
895	33157	3848
896	33209	3813
897	33245	3776
898	33288	3739
899	33389	3709
900	33518	3682
901	33622	3653
902	33657	3615
903	33685	3577
904	33718	3539
905	33749	3501
906	33781	3463
907	33814	3426
908	33854	3389
909	33893	3352
910	33923	3314
911	33954	3276
912	33982	3238
913	34009	3199
914	34035	3161
915	34062	3123
916	34099	3086
917	34131	3048
918	34160	3010
919	34186	2972
920	34211	2934
921	34241	2896
922	34272	2859
923	34314	2822
924	34342	2784
925	34371	2746
926	34399	2708
927	34424	2670
928	34454	2633
929	34482	2595
930	34570	2562
931	34598	2524
932	34624	2486
933	34650	2448
934	34682	2411
935	34712	2373
936	34737	2335
937	34765	2297
938	34795	2260
939	34836	2223
940	34871	2186
941	34901	2148
942	34929	2111
943	34961	2073
944	34992	2036
945	35019	1998
946	35058	1962
947	35088	1924
948	35115	1887
949	35141	1849
950	35170	1812
951	35199	1774
952	35231	1737
953	35270	1700
954	35300	1663
955	35329	1626
956	35359	1588
957	35388	1551
958	35416	1514
959	35446	1476
960	35485	1440
961	35515	1402
962	35541	1365
963	35567	1328
964	35599	1291
965	35625	1253
966	35656	1216
967	35700	1180
968	35728	1143
969	35759	1105
970	35789	1068
971	35823	1031
972	35854	994
973	35886	957
974	35922	921
975	35950	884
976	35977	846
977	36002	809
978	36033	772
979	36059	735
980	36088	698
981	36119	662
982	36160	625
983	36189	588
984	36215	551
985	36248	514
986	36274	477
987	36301	440
988	36327	404
989	36373	367
990	36399	330
991	36427	293
992	36457	257
993	36483	220
994	36509	183
995	36544	146
996	36583	110
997	36617	73
998	36655	36
999	36694	0
